date,company,action,price,shares,value,holding_period_years
2019-08-01,Prashant India Ltd.,BUY,1.26,3968253.9682539683,5000000.0,
2020-07-31,Prashant India Ltd.,SELL,1.11,3968253.9682539683,4404761.904761905,0.999315537303217
2020-09-01,Chaman Lal Setia Exports Ltd.,BUY,101.25,46443.26866549089,4702380.952380952,
2021-09-01,Chaman Lal Setia Exports Ltd.,SELL,114.65,46443.26866549089,5324720.752498531,0.999315537303217
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,297363.6330035434,2506775.426219871,
2022-09-01,Chaman Lal Setia Exports Ltd.,BUY,106.95,23438.760413463027,2506775.426219871,
2023-09-01,Parker Agrochem Exports Ltd.,SELL,11.31,297363.6330035434,3363182.6892700763,0.999315537303217
2023-09-01,Chaman Lal Setia Exports Ltd.,SELL,202.35,23438.760413463027,4742833.169664243,0.999315537303217
2023-09-01,Parker Agrochem Exports Ltd.,BUY,11.31,193332.8427847636,2186594.4518956766,
2023-09-01,Wallfort Financial Services Ltd.,BUY,74.31,29425.30550256596,2186594.4518956766,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,569425.6385144992,2186594.4518956766,
2023-09-01,Premier Polyfilm Ltd.,BUY,21.56,101419.03765749892,2186594.4518956766,
2024-09-02,Parker Agrochem Exports Ltd.,SELL,16.25,193332.8427847636,3141658.6952524087,1.0047912388774811
2024-09-02,Wallfort Financial Services Ltd.,SELL,149.0,29425.30550256596,4384370.519882328,1.0047912388774811
2024-09-02,Magnanimous Trade & Finance Ltd.,SELL,5.64,569425.6385144992,3211560.601221775,1.0047912388774811
2024-09-02,Premier Polyfilm Ltd.,SELL,44.67,101419.03765749892,4530388.412160477,1.0047912388774811
2024-09-02,Wallfort Financial Services Ltd.,BUY,149.0,32954.978409913325,4910291.783077085,
2024-09-02,Magnanimous Trade & Finance Ltd.,BUY,5.64,870619.1104746605,4910291.783077085,
2024-09-02,Premier Polyfilm Ltd.,BUY,44.67,109923.70232991013,4910291.783077085,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,20854.92369113224,4910291.783077085,
2025-09-02,Wallfort Financial Services Ltd.,SELL,116.6,32954.978409913325,3842550.4825958936,0.999315537303217
2025-09-02,Magnanimous Trade & Finance Ltd.,SELL,5.64,870619.1104746605,4910291.783077085,0.999315537303217
2025-09-02,Premier Polyfilm Ltd.,SELL,48.09,109923.70232991013,5286230.845045378,0.999315537303217
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,20854.92369113224,5563259.443846436,0.03559206023271732
