date,company,action,price,shares,value,holding_period_years
2018-09-03,Balmer Lawrie & Co. Ltd.,BUY,153.3,9318.796011555307,1428571.4285714286,
2018-09-03,Bajaj Finserv Ltd.,BUY,665.29,2147.291299390384,1428571.4285714286,
2018-09-03,Chaman Lal Setia Exports Ltd.,BUY,106.9,13363.624214887077,1428571.4285714286,
2019-08-01,Prashant India Ltd.,BUY,1.26,1133786.8480725621,1428571.4285714284,
2019-09-03,Premier Polyfilm Ltd.,BUY,4.23,337723.741979061,1428571.4285714282,
2020-09-01,Wallfort Financial Services Ltd.,BUY,20.9,19529.34283761351,408163.2653061223,
2020-09-01,Sam Industries Ltd.,BUY,7.5,54421.768707482974,408163.2653061223,
2020-09-01,Arvee Laboratories (India) Ltd.,BUY,35.0,11661.807580174924,408163.2653061223,
2020-09-01,Panasonic Energy India Co. Ltd.,BUY,186.55,2187.956394029066,408163.26530612225,
2022-09-01,Parker Agrochem Exports Ltd.,BUY,8.43,36313.45776744862,306122.4489795919,
2023-09-01,Tilaknagar Industries Ltd.,BUY,216.1,708.288868532142,153061.2244897959,
2023-09-01,Magnanimous Trade & Finance Ltd.,BUY,3.84,39859.69387755101,153061.2244897959,
2023-09-01,Nagreeka Capital & Infrastructure Ltd.,BUY,15.64,9786.523304974162,153061.2244897959,
2023-09-04,Balmer Lawrie & Co. Ltd.,SELL,165.85,9318.796011555307,1545522.3185164477,5.002053388090349
2023-09-04,Bajaj Finserv Ltd.,SELL,1510.1,2147.291299390384,3242624.591209419,5.002053388090349
2023-09-04,Chaman Lal Setia Exports Ltd.,SELL,207.8,13363.624214887077,2776961.111853535,5.002053388090349
2023-09-04,Balmer Lawrie & Co. Ltd.,BUY,165.85,8063.804336296643,1337381.949174798,
2023-09-04,Bajaj Finserv Ltd.,BUY,1510.1,885.6247594032171,1337381.949174798,
2023-09-04,Chaman Lal Setia Exports Ltd.,BUY,207.8,6435.909283805573,1337381.949174798,
2024-07-30,Prashant India Ltd.,SELL,13.72,1133786.8480725621,15555555.555555554,4.996577686516085
2024-09-02,Premier Polyfilm Ltd.,SELL,44.67,337723.741979061,15086119.554204654,4.999315537303217
2024-09-02,Premier Polyfilm Ltd.,BUY,44.67,155154.78378009668,6930764.191456919,
2024-12-19,Yash Highvoltage Ltd.,BUY,291.25,23796.615249637496,6930764.1914569205,
2025-09-05,Career Point Edutech Ltd.,BUY,235.45,29436.24630051782,6930764.1914569205,
2025-09-01,Wallfort Financial Services Ltd.,SELL,120.0,19529.34283761351,2343521.1405136213,4.999315537303217
2025-09-01,Sam Industries Ltd.,SELL,63.95,54421.768707482974,3480272.108843536,4.999315537303217
2025-09-01,Arvee Laboratories (India) Ltd.,SELL,163.34,11661.807580174924,1904839.6501457721,4.999315537303217
2025-09-01,Panasonic Energy India Co. Ltd.,SELL,341.45,2187.956394029066,747077.7107412246,4.999315537303217
2025-09-18,Parker Agrochem Exports Ltd.,SELL,21.45,36313.45776744862,778923.6691117729,3.047227926078029
2025-09-18,Tilaknagar Industries Ltd.,SELL,468.35,708.288868532142,331727.09157702874,2.0479123887748116
2025-09-18,Magnanimous Trade & Finance Ltd.,SELL,5.64,39859.69387755101,224808.6734693877,2.0479123887748116
2025-09-18,Nagreeka Capital & Infrastructure Ltd.,SELL,28.32,9786.523304974162,277154.3399968683,2.0479123887748116
2025-09-18,Balmer Lawrie & Co. Ltd.,SELL,215.25,8063.804336296643,1735733.8833878525,2.0396988364134154
2025-09-18,Bajaj Finserv Ltd.,SELL,2069.2,885.6247594032171,1832534.7521571368,2.0396988364134154
2025-09-18,Chaman Lal Setia Exports Ltd.,SELL,288.15,6435.909283805573,1854507.2601285758,2.0396988364134154
2025-09-18,Premier Polyfilm Ltd.,SELL,47.69,155154.78378009668,7399331.63847281,1.0431211498973305
2025-09-18,Yash Highvoltage Ltd.,SELL,486.0,23796.615249637496,11565155.011323823,0.7474332648870636
2025-09-18,Career Point Edutech Ltd.,SELL,266.76,29436.24630051782,7852413.063126134,0.03559206023271732
