date,company,action,price,shares,value,holding_period_years
2019-09-03,Nagreeka Capital & Infrastructure Ltd.,BUY,6.53,7656.967840735068,50000.0,
2019-09-03,Premier Polyfilm Ltd.,BUY,4.23,11820.33096926714,50000.0,
2019-09-03,Maharashtra Scooters Ltd.,BUY,3798.75,13.16222441592629,50000.0,
2019-09-03,Bhartiya International Ltd.,BUY,245.5,203.66598778004072,50000.0,
2019-09-03,Arvee Laboratories (India) Ltd.,BUY,27.5,1818.1818181818182,50000.0,
2019-09-03,Wallfort Financial Services Ltd.,BUY,22.55,2217.294900221729,50000.0,
2019-09-03,Chaman Lal Setia Exports Ltd.,BUY,39.95,1251.5644555694616,50000.0,
2019-09-03,Arnold Holdings Ltd.,BUY,38.5,1298.7012987012988,50000.0,
2020-09-01,Magnanimous Trade & Finance Ltd.,BUY,2.89,17301.038062283737,50000.0,
2020-09-01,Tilaknagar Industries Ltd.,BUY,16.25,3076.923076923077,50000.0,
2020-09-01,Lee & Nee Softwares (Exports) Ltd.,BUY,1.55,32258.06451612903,50000.0,
2020-09-01,Yash Management & Satellite Ltd.,BUY,8.5,5882.35294117647,50000.0,
2020-09-01,Systematix Securities Ltd.,BUY,3.59,13927.57660167131,50000.0,
2020-09-01,Aryan Share & Stock Brokers Ltd.,BUY,6.32,7911.39240506329,50000.0,
2020-09-01,Sam Industries Ltd.,BUY,7.5,6666.666666666667,50000.0,
2020-09-01,Advance Petrochemicals Ltd.,BUY,38.95,1283.6970474967907,50000.0,
2020-09-01,Panasonic Energy India Co. Ltd.,BUY,186.55,268.0246582685607,50000.0,
2020-09-02,Nagreeka Capital & Infrastructure Ltd.,SELL,5.54,7656.967840735068,42419.60183767228,1.0
2020-09-02,Premier Polyfilm Ltd.,SELL,5.6,11820.33096926714,66193.85342789597,1.0
2020-09-02,Maharashtra Scooters Ltd.,SELL,3081.5,13.16222441592629,40559.39453767687,1.0
2020-09-02,Bhartiya International Ltd.,SELL,181.2,203.66598778004072,36904.276985743374,1.0
2020-09-02,Arvee Laboratories (India) Ltd.,SELL,35.0,1818.1818181818182,63636.36363636364,1.0
2020-09-02,Wallfort Financial Services Ltd.,SELL,20.9,2217.294900221729,46341.463414634134,1.0
2020-09-02,Chaman Lal Setia Exports Ltd.,SELL,96.2,1251.5644555694616,120400.50062578221,1.0
2020-09-02,Arnold Holdings Ltd.,SELL,29.95,1298.7012987012988,38896.1038961039,1.0
2020-09-02,Premier Polyfilm Ltd.,BUY,5.6,8928.57142857143,50000.0,
2020-09-02,Arvee Laboratories (India) Ltd.,BUY,35.0,1428.5714285714287,50000.0,
2020-09-02,Wallfort Financial Services Ltd.,BUY,20.9,2392.3444976076557,50000.0,
2020-09-02,Chaman Lal Setia Exports Ltd.,BUY,96.2,519.7505197505197,50000.0,
2021-09-01,Magnanimous Trade & Finance Ltd.,SELL,2.89,17301.038062283737,50000.0,1.0
2021-09-01,Tilaknagar Industries Ltd.,SELL,38.6,3076.923076923077,118769.23076923078,1.0
2021-09-01,Lee & Nee Softwares (Exports) Ltd.,SELL,3.69,32258.06451612903,119032.25806451612,1.0
2021-09-01,Yash Management & Satellite Ltd.,SELL,9.04,5882.35294117647,53176.47058823529,1.0
2021-09-01,Systematix Securities Ltd.,SELL,3.59,13927.57660167131,50000.0,1.0
2021-09-01,Aryan Share & Stock Brokers Ltd.,SELL,6.0,7911.39240506329,47468.35443037974,1.0
2021-09-01,Sam Industries Ltd.,SELL,21.5,6666.666666666667,143333.33333333334,1.0
2021-09-01,Advance Petrochemicals Ltd.,SELL,38.0,1283.6970474967907,48780.487804878045,1.0
2021-09-01,Panasonic Energy India Co. Ltd.,SELL,298.5,268.0246582685607,80005.36049316537,1.0
2021-09-01,Prashant India Ltd.,BUY,1.39,35971.22302158274,50000.0,
2021-09-01,Murudeshwar Ceramics Ltd.,BUY,25.0,2000.0,50000.0,
2021-09-01,Ceeta Industries Ltd.,BUY,7.4,6756.756756756757,50000.0,
2021-09-01,Tilaknagar Industries Ltd.,BUY,38.6,1295.3367875647668,50000.0,
2021-09-01,Liberty Shoes Ltd.,BUY,174.75,286.1230329041488,50000.0,
2021-09-01,Parker Agrochem Exports Ltd.,BUY,4.43,11286.681715575622,50000.0,
2021-09-01,Lee & Nee Softwares (Exports) Ltd.,BUY,3.69,13550.135501355015,50000.0,
2021-09-01,Bhartiya International Ltd.,BUY,210.35,237.69907297361542,50000.0,
2021-09-01,Bajaj Finserv Ltd.,BUY,1678.63,29.786194694482997,50000.0,
2021-09-01,Aryan Share & Stock Brokers Ltd.,BUY,6.0,8333.333333333334,50000.0,
